T,I
51.5,4.314285714
53,3.75
54.5,4.075
56,4.2625
57.5,4.325
59,4.8375
60.5,5.2375
62,5.55
63.5,6.075
65,6.5
66.5,7.375
68,8.0625
69.5,8.9625
71,9.8375
72.5,11.025
74,12.4375
75.5,14.4
77,16.4125
78.5,18.8
80,21.925
81.5,25.1875
83,29.9875
84.5,34.3
86,40.4
87.5,47.9875
89,56.9125
90.5,67.2125
92,80.35
93.5,95.0375
95,113.125
96.5,134.6
98,161.5375
99.5,193.875
101,230.55
102.5,275.7125
104,330.325
105.5,396.75
107,473.9375
108.5,566.4375
110,677.55
111.5,804.7
113,959.725
114.5,1141.7375
116,1357.4625
117.5,1605.7875
119,1902.7125
120.5,2242.025
122,2636.6875
123.5,3102.875
125,3631.0625
126.5,4238.8375
128,4918.3
129.5,5707.7125
131,6556.225
132.5,7511.725
134,8570.7375
135.5,9687.175
137,10888.9375
138.5,12114.3625
140,13351.15
141.5,14559.75
143,15683.5
144.5,16665.275
146,17473.15
147.5,18041.0625
149,18320.2125
150.5,18289.975
152,17998.125
153.5,17450.4375
155,16802.0875
156.5,16125.9125
158,15564.25
159.5,15276.6125
161,15379.5875
162.5,15927.85
164,16977.075
165.5,18480.075
167,20465.1625
168.5,22830.925
170,25563.0875
171.5,28598.275
173,31877.875
174.5,35375.125
176,38954.85
177.5,42600.1
179,46144.1875
180.5,49477.4375
182,52482.4625
183.5,55020.4375
185,56965.4625
186.5,58212.1375
188,58748.875
189.5,58586.1625
191,57838.2875
192.5,56679.9875
194,55385.8375
195.5,54216.6875
197,53428.9875
198.5,53233.7125
200,53770.4625
201.5,55047.2125
203,56969.9625
204.5,59391.9375
206,62125.1875
207.5,64992.65
209,67866.7625
210.5,70564.0625
212,73003.7125
213.5,75144.0375
215,77005.35
216.5,78485.8375
218,79664.65
219.5,80591.45
221,81398.5
222.5,82164.7125
224,83094.0875
225.5,84359.8
227,86109
228.5,88497.9625
230,91455.0375
231.5,95009.05
233,98805.375
234.5,102410.6875
236,105343.9625
237.5,106972.5125
239,106659.4
240.5,104006.575
242,98781.525
243.5,91024.8625
245,81136.3625
246.5,69726.4375
248,57644.6
249.5,45723.5625
251,34804.3375
252.5,25525.275
254,18128.15
255.5,12662.8625
257,8906.3
258.5,6463.95
260,4958.625
261.5,4052.8
263,3508.5375
264.5,3170.0875
266,2971.775
267.5,2857.5375
269,2814.5875
270.5,2822.1
272,2868.7375
273.5,2944.9875
275,3038.7625
276.5,3134.6875
278,3246.0625
279.5,3326.5625
281,3425.3875
282.5,3516.6875
284,3607.925
285.5,3665.125
287,3743.6625
288.5,3806.65
290,3846.9875
291.5,3902.5875
293,3915.4375
294.5,3943.525
296,3943.5625
297.5,3937.2625
299,3930.675
300.5,3893.4875
302,3860.0625
303.5,3770.375
305,3697.525
306.5,3599.1375
308,3492.025
309.5,3348.375
311,3211.9
312.5,3060.775
314,2893.0875
315.5,2724.3375
317,2563.625
318.5,2396.5
320,2242.35
321.5,2081.025
323,1948.7625
324.5,1817.025
326,1708.85
327.5,1610.85
329,1529.2
330.5,1460.025
332,1403.825
333.5,1356.15
335,1311.1875
336.5,1276.9
338,1251.65
339.5,1221.9375
341,1201.2125
342.5,1179.65
344,1161.4
345.5,1137.625
347,1113
348.5,1083.35
350,1056.9875
