Temperatura,L1,Otra
298.15,727,25
299.16563,745,26.01563
300.18125,711,27.03125
301.19688,735,28.04688
302.2125,732,29.0625
303.22813,689,30.07813
304.24375,737,31.09375
305.25938,719,32.10938
306.275,753,33.125
307.29063,744,34.14063
308.30625,736,35.15625
309.32188,789,36.17188
310.3375,731,37.1875
311.35313,794,38.20313
312.36875,741,39.21875
313.38438,747,40.23438
314.4,767,41.25
315.41563,765,42.26563
316.43125,817,43.28125
317.44688,800,44.29688
318.4625,773,45.3125
319.47813,797,46.32813
320.49375,832,47.34375
321.50938,843,48.35938
322.525,872,49.375
323.54063,888,50.39063
324.55625,915,51.40625
325.57188,1002,52.42188
326.5875,1099,53.4375
327.60313,1078,54.45313
328.61875,1153,55.46875
329.63438,1128,56.48438
330.65,1242,57.5
331.66563,1260,58.51563
332.68125,1346,59.53125
333.69688,1435,60.54688
334.7125,1560,61.5625
335.72813,1596,62.57813
336.74375,1680,63.59375
337.75938,1827,64.60938
338.775,1828,65.625
339.79063,2018,66.64063
340.80625,2061,67.65625
341.82188,2246,68.67188
342.8375,2404,69.6875
343.85313,2424,70.70313
344.86875,2556,71.71875
345.88438,2758,72.73438
346.9,3017,73.75
347.91563,3179,74.76563
348.93125,3291,75.78125
349.94688,3413,76.79688
350.9625,3755,77.8125
351.97813,3974,78.82813
352.99375,4155,79.84375
354.00938,4529,80.85938
355.025,4761,81.875
356.04063,5024,82.89063
357.05625,5321,83.90625
358.07188,5663,84.92188
359.0875,6083,85.9375
360.10313,6455,86.95313
361.11875,6787,87.96875
362.13438,7041,88.98438
363.15,7399,90
364.16563,8036,91.01563
365.18125,8370,92.03125
366.19688,8917,93.04688
367.2125,9396,94.0625
368.22813,9864,95.07813
369.24375,10039,96.09375
370.25938,10817,97.10938
371.275,11367,98.125
372.29063,11760,99.14063
373.30625,12072,100.15625
374.32188,12696,101.17188
375.3375,13090,102.1875
376.35313,13626,103.20313
377.36875,14072,104.21875
378.38438,14665,105.23438
379.4,14927,106.25
380.41563,15743,107.26563
381.43125,15903,108.28125
382.44688,16210,109.29688
383.4625,16733,110.3125
384.47813,17058,111.32813
385.49375,17664,112.34375
386.50938,17822,113.35938
387.525,18375,114.375
388.54063,18720,115.39063
389.55625,19622,116.40625
390.57188,19934,117.42188
391.5875,20297,118.4375
392.60313,21077,119.45313
393.61875,21825,120.46875
394.63438,22354,121.48438
395.65,22856,122.5
396.66563,23626,123.51563
397.68125,24718,124.53125
398.69688,25465,125.54688
399.7125,26364,126.5625
400.72813,27162,127.57813
401.74375,28117,128.59375
402.75938,29219,129.60938
403.775,30403,130.625
404.79063,31516,131.64063
405.80625,32682,132.65625
406.82188,34034,133.67188
407.8375,34235,134.6875
408.85313,36024,135.70313
409.86875,36746,136.71875
410.88438,38004,137.73438
411.9,39101,138.75
412.91563,40344,139.76563
413.93125,40898,140.78125
414.94688,42308,141.79688
415.9625,42870,142.8125
416.97813,43765,143.82813
417.99375,44178,144.84375
419.00938,44842,145.85938
420.025,45263,146.875
421.04063,45550,147.89063
422.05625,45425,148.90625
423.07188,45506,149.92188
424.0875,45088,150.9375
425.10313,45367,151.95313
426.11875,44769,152.96875
427.13438,43725,153.98438
428.15,43038,155
429.16563,41590,156.01563
430.18125,40651,157.03125
431.19688,39451,158.04688
432.2125,38251,159.0625
433.22813,36566,160.07813
434.24375,35315,161.09375
435.25938,33826,162.10938
436.275,32328,163.125
437.29063,30667,164.14063
438.30625,29097,165.15625
439.32188,27990,166.17188
440.3375,26238,167.1875
441.35313,24723,168.20313
442.36875,23394,169.21875
443.38438,22045,170.23438
444.4,20474,171.25
445.41563,19414,172.26563
446.43125,18007,173.28125
447.44688,17099,174.29688
448.4625,15779,175.3125
449.47813,14954,176.32813
450.49375,13944,177.34375
451.50938,13048,178.35938
452.525,12259,179.375
453.54063,11416,180.39063
454.55625,11097,181.40625
455.57188,10304,182.42188
456.5875,9802,183.4375
457.60313,9223,184.45313
458.61875,9147,185.46875
459.63438,8796,186.48438
460.65,8536,187.5
461.66563,8377,188.51563
462.68125,8479,189.53125
463.69688,8433,190.54688
464.7125,8302,191.5625
465.72813,8340,192.57813
466.74375,8464,193.59375
467.75938,8578,194.60938
468.775,8668,195.625
469.79063,8878,196.64063
470.80625,9231,197.65625
471.82188,9101,198.67188
472.8375,9562,199.6875
473.85313,9685,200.70313
474.86875,10060,201.71875
475.88438,10385,202.73438
476.9,10808,203.75
477.91563,11065,204.76563
478.93125,11530,205.78125
479.94688,11895,206.79688
480.9625,12255,207.8125
481.97813,12820,208.82813
482.99375,13050,209.84375
484.00938,13462,210.85938
485.025,14031,211.875
486.04063,14374,212.89063
487.05625,14789,213.90625
488.07188,15515,214.92188
489.0875,15945,215.9375
490.10313,16766,216.95313
491.11875,16917,217.96875
492.13438,17607,218.98438
493.15,18297,220
494.16563,18683,221.01563
495.18125,19475,222.03125
496.19688,19786,223.04688
497.2125,20377,224.0625
498.22813,20907,225.07813
499.24375,21580,226.09375
500.25938,22370,227.10938
501.275,22732,228.125
502.29063,23627,229.14063
503.30625,23669,230.15625
504.32188,24753,231.17188
505.3375,24967,232.1875
506.35313,25523,233.20313
507.36875,26430,234.21875
508.38438,27174,235.23438
509.4,27559,236.25
510.41563,28164,237.26563
511.43125,28713,238.28125
512.44688,28880,239.29688
513.4625,29559,240.3125
514.47813,29766,241.32813
515.49375,30081,242.34375
516.50938,30313,243.35938
517.525,30226,244.375
518.54063,30642,245.39063
519.55625,30485,246.40625
520.57188,30425,247.42188
521.5875,30290,248.4375
522.60313,30105,249.45313
523.61875,29897,250.46875
524.63438,30023,251.48438
525.65,29005,252.5
526.66563,28755,253.51563
527.68125,27651,254.53125
528.69688,27284,255.54688
529.7125,26467,256.5625
530.72813,25735,257.57813
531.74375,25210,258.59375
532.75938,24404,259.60938
533.775,23327,260.625
534.79063,22551,261.64063
535.80625,21961,262.65625
536.82188,21185,263.67188
537.8375,20881,264.6875
538.85313,19976,265.70313
539.86875,19987,266.71875
540.88438,19142,267.73438
541.9,18965,268.75
542.91563,18741,269.76563
543.93125,18308,270.78125
544.94688,17868,271.79688
545.9625,18043,272.8125
546.97813,18308,273.82813
547.99375,18101,274.84375
549.00938,18397,275.85938
550.025,18865,276.875
551.04063,18952,277.89063
552.05625,19326,278.90625
553.07188,19465,279.92188
554.0875,19984,280.9375
555.10313,20295,281.95313
556.11875,20914,282.96875
557.13438,21441,283.98438
558.15,21650,285
559.16563,22263,286.01563
560.18125,22829,287.03125
561.19688,23096,288.04688
562.2125,23696,289.0625
563.22813,24055,290.07813
564.24375,24276,291.09375
565.25938,24688,292.10938
566.275,24644,293.125
567.29063,25085,294.14063
568.30625,25442,295.15625
569.32188,25290,296.17188
570.3375,25311,297.1875
571.35313,25303,298.20313
572.36875,25147,299.21875
573.38438,25117,300.23438
574.4,24293,301.25
575.41563,24291,302.26563
576.43125,23741,303.28125
577.44688,23437,304.29688
578.4625,22708,305.3125
579.47813,22156,306.32813
580.49375,21504,307.34375
581.50938,20505,308.35938
582.525,19728,309.375
583.54063,19080,310.39063
